# Licensed to the Apache Software Foundation (ASF) under one
# or more contributor license agreements.  See the NOTICE file
# distributed with this work for additional information
# regarding copyright ownership.  The ASF licenses this file
# to you under the Apache License, Version 2.0 (the
# "License"); you may not use this file except in compliance
# with the License.  You may obtain a copy of the License at
#
#   http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing,
# software distributed under the License is distributed on an
# "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
# KIND, either express or implied.  See the License for the
# specific language governing permissions and limitations
# under the License.
sha	subject	decision	follow_up	reviewed_head	reason
ce52b9dae0cef57394967346247914a47cb04da4	Merge branch '4.20' into 20.3.0-sec	Pending	#992	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv.
d5101b0c905a818a83c5048dc37447162040089e	Merge branch '4.20' into 4.22	Pending	#992,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv.
fb5e24fa086880b0b3058278c0878ef404af0e59	Merge branch '4.22'	Pending	#991,#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md.
7e84850a03a1c5deae9fe9c0a53dab3d569607ca	Restrict trigger push branch for GitHub Workflow (#13522)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Build/RAT/UI and existing simulator ci.yml push triggers restricted to ablestack-europa. PR and existing workflow_call triggers remain available. The simulator repository condition stays apache/cloudstack, so its syntax and branch mapping are reviewed but simulator execution is not claimed.
4beab943f2ae5d8705dbaf2f9b5e51702fbc58a8	Add draft project security threat-model document (#13293)	Applied	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: cherry-pick; Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
b3b9caddc191da6842b99ee6b2f2d5f92cb70145	Merge remote-tracking branch 'apache/4.22'	Pending	#993,#992	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv.
d35c1cd3ffe627494d52ec5db7a3443adbcfc5e7	Remove the duplicate configkey json.content.type (#13264)	Adapted	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: adapted preserving POST and timestamp enforcement; Complete Maven regression; API dispatch/context/servlet/server and dependency linkage review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
c8b7816d5ee064f4c5affe79124de4a9394e4f56	marvin: install mysql-connector-python >= 8.4.0 (#13482)	Applied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Marvin mysql-connector-python >=8.4.0 applied; Python3.10 isolated installation/import with8.4.0 passed. Official Rocky9.8 RPM built and packaged Marvin successfully.
c7e2c748f74619e3b0454d6f2904b89abaf39003	Merge remote-tracking branch 'apache/4.20' into 4.22	Pending	#992,#993,#994,#991	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md. S4 DB/reservation hunks reviewed at 551a19f7caecb817c48eca0e9f3754d433aac241 (#1016); retain Pending for remaining side commits/functions. See s4-dependencies.tsv.
265b554d608ef42d7c77de0eab088a46f8c4fd81	Fix 4.22 build failures after forward-merge and rename 42010to42100 to 42040to42100	Adapted	#992	551a19f7caecb817c48eca0e9f3754d433aac241	S4 final: Use the corrected 4.20.3 to 4.20.4 to 4.21 hierarchy with Europa 4.23/security migrations; covered by upgrade path tests and full fresh JDBC chain.; Final local/Actions Java and UI; actual JDBC full-baseline upgrade/fresh/partial failure/concurrent retry; runtime reservation and Quota fixtures. See s4-verification.ko.md and s4-local-tests.tsv.
846803db0766e95e618d0675186268c4d31fefb0	Merge remote-tracking branch 'apache/4.22'	Pending	#997,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
1c1611df2fd32ec160171de9f5f9031275f882bf	Ubuntu 26.04: remove requiretty from /etc/sudoers.d/cloudstack and fix setup-sysvm-tmplt (#13476)	Pending	#997,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Ubuntu sudoers plus shared /var/tmp template paths and Java tmpdir; verify SystemVM upload/creation ownership and packaged permissions in S6/S5B.
a503a52ba6907cdfa704212dac9d5d831a248f3d	Merge remote-tracking branch 'apache/4.22'	Pending	#990,#997,#994	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Empty remerge diff, but its sole in-scope parent1c1611df2fd3 changes shared SystemVM template paths and management tmpdir as well as Ubuntu sudoers. Keep Pending with S6/S5B source and packaged ownership/permission validation; empty resolution is not an exclusion.
4c0a3e14992ecf6412b064f34f2ce7d84e94e584	marvin: use pycryptodome instead of PyCrypt (#13594)	Applied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Marvin pycryptodome replaces PyCrypt; Python3.10 isolated installation/import and AES roundtrip passed with pycryptodome3.23.0. Official Rocky9.8 RPM packaging passed.
38b674f4426fa8a9ab72ce485b1bdad62e2f1e4f	Add AGENTS.md + SECURITY.md wiring for security-model discoverability (#13554)	Applied	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: cherry-pick; Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
76a4bc8c9dea970f829772fdb8419013974797f9	Merge remote-tracking branch 'apache/4.20' into 4.22	Pending	#993	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
17e5947a6d2cea3ced8d892e13d04b4e838f8d8e	server: add removed Tests for listHostsForMigrationOfVM and fix test failures	Pending	#993	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Migration host-list test restoration depends on S5A migration implementation.
fe3df6b660d3757797235cf4cbd3f96716feffbe	Merge branch '4.22' into 'main'	Pending	#993	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
24fd90a24878c56fb48934b95ca6664c5f519828	server: fix build failures after merge-forward	Pending	#993	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Follow-up test signatures belong to the same S5A migration host-list sequence.
d2a3bd1aa78a516f47d5cf683bbb1327a121a4b8	Rename draft-THREAT-MODEL.md to THREAT_MODEL.md (#13599)	Applied	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: cherry-pick; Security-document path/reference review and Actions License Check; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
13742921d1ec3eacd529e0c361bde77071bcaa33	Fix simulator test failures on main (#13608)	Pending	#997,#992	d415cef44ef5b0008bd81288cd0ef1d280e8a028	VPC Firewall/service-offering behavior and simulator expectation changes need S6 feature source and S4 functioning simulator schema.
332800480dfc79a761c2252a36fbf21d3f87cd72	debian/ubuntu: ignore pycompile errors (#13602)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Debian/Ubuntu Python3.12 postinst compatibility only; Rocky RPM installation uses a separate packaging path. No new Debian target claimed.
0e43c6a818e1a74056f464a87c40941f8fb7d191	tools/docker: Build docker image cloudstack-simulator (#13597)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Ubuntu simulator image migration to Ubuntu24.04/Node24 is outside the pinned Rocky9.8/Node14 runtime contract. Rocky verification uses the separate S2 path; simulator DB validation remains #992.
e1cf0f335a7f2e4b6cd71c3147ef64bcd89d486e	Merge branch 4.22 to main	Pending	#998,#997	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied.
5a67f1930ccbd2f568c07df53f9a6981ad72f629	Update tools/build/build_asf.sh (#13812)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF source-release helper snapshot substitutions for s390x/OVM; Europa official artifacts use the Rocky Actions workflow and release stamping in #999.
cced071159f6284b92e20b3e5bd2329d4c0fdbc0	Add Dogface2k to the contributors list	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	ASF collaborator/branch ruleset administration only; the file is not deployed or used by Europa build/RC artifacts. Europa repository permissions and branch policy are managed separately.
ebc5e64b70866d4e16309d92e139327760213022	[CI] Run `pre-commit autoupdate` to update the hooks (#12943)	Adapted	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Five hook revisions updated; retain oxipng9.1.5 and markdownlint0.45.0 to avoid unrelated asset/style changes. Dedicated lint Python3.11 preserves product Python3.10. Final lint has the same14 failed hook categories as S1 and no new S2 path diagnostics; the complete lint job still FAILS.
e2012133599af9e2866e1cd58cc3d70081710a46	markdown table format fixes (#13848)	Pending	#997,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Network Extension and ONTAP documentation tables accompany the feature/provider integration; files are not a standalone build prerequisite.
1ceb1d0925593f2a95eb782df238dd2efd66e396	docs: fix broken star history chart by using a new provider (#13844)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache repository star-history provider image only; retain Europa branding and avoid introducing unrelated external telemetry.
659f675b059c1e5008deb3bb28793eadf377d687	README: add three more status buttons (#11650)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache issue/documentation/website badges only; no Europa runtime or build behavior.
dbee809b639adb759f4acf1af563c66592149b24	Rotate Copilot tokens for the gh-aw agentic workflows (#13525)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache Copilot token rotation and gh-aw scheduled automation require Apache-specific credentials; no Europa source or artifact change.
1cd249160eca49c54917ac76bf165e3c1b9ec1df	Update sonar-check.yml to manage coverage comments (#13878)	Excluded	#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Apache Sonar coverage PR comments only; job explicitly requires github.repository == apache/cloudstack.
e8f200afa3b717b336b1d1dc2fc60e3ad82153b6	Fix database connection leak	Applied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Scoped lookup executes within Transaction. ConfigDepotImpl/ConfigKey17 tests passed, including two connection-close regressions on success and exception; negative control on baseline implementation fails both new tests.
1e5d534c3ca32c9c775613dddae12fcfab15e2bf	guard against stopping stats background threads (#13659)	Applied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Stats cleanup catches RuntimeException to preserve scheduled execution. StatsCollector65 tests passed, including four new upstream exception-guard regressions; full backend suites passed.
ea75dc3c43727f7faf0a16d599cbdf3531bfe15b	Fix database connection leak	Already Satisfied	#990	0725e2c585b35b45d9e9e8f180f051d2022a59a6	Identical upstream config-lookup patch is satisfied by Europa8aa74e786d1416f20377579ac32182e0acd915aa and the same two success/error connection-close regressions. No duplicate application.
7fd56e573b8d6055b2d560babc9ad1f6c25d5d32	Merge remote-tracking branch 'apache/4.20' into 4.22	Pending	#991,#993,#994	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md.
7fc063ec13df5b4ae3dfd32242396e7e68436608	build: fix after forward-merge	Pending	#993,#991	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Duplicate-host validation and template/user merge fix spans unresolved S5A/S3 source sequences; verify the resulting contracts rather than copy merge-state cleanup. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md.
efa58cc52fca2c58840b8c83b583e3e36f0f5577	Merge remote-tracking branch 'origin/4.22'	Pending	#991,#994,#998	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md.
d7b4f35825a13fd77369b58c842e9a7d5a681ce9	fixes after forward-merge	Applied	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: cherry-pick; Webhook module 253 tests including owner/domain access and destination URL policy; UI regression; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
02182a1572a12a89fc2f429f57bcec6f9e6ad7c0	Merge branch '4.23.0-merge-4.22.1.1' into main	Pending	#991,#990	d415cef44ef5b0008bd81288cd0ef1d280e8a028	19-merge coverage retained in merges.tsv. Independent remerge hunks and in-scope side commits require feature-owner validation; no merge is silently excluded or considered applied. S3 resolution hunks verified at e086c2433302499068ccfea6ae41b3e642554297 (#1009); retain Pending until remaining functional paths/in-scope side commits are integrated. See s3-verification.ko.md.
8b72a16d61f669ad1141a4c2aefcc331fc90e453	build: fixes after forward-merge	Applied	#991	e086c2433302499068ccfea6ae41b3e642554297	S3 final: cherry-pick; AccountManagerImplTest and role/project regression; UI contract review; full local 11704 tests (0 failures/0 errors/14 skips), UI343; final source Actions PASS; s3-verification.ko.md
463f8d0294702a920e8020b62ae3b67f52ae1473	Updating pom.xml version numbers for release 4.23.0.0	Pending	#999	d415cef44ef5b0008bd81288cd0ef1d280e8a028	Final Apache 4.23.0.0 version stamping must occur at final Europa RC; retain SNAPSHOT while integration is incomplete.
